dünn;fino,delgado,flaco,escaso, exiguo,ralo,débil,aguado, claro,flojo;ADJ;1. Mein Sohn ist sehr dünn. Er isst zu wenig. 2. Warum ziehst du nur so einen dünnen Mantel an? Es ist kalt draußen.
egal;igual;ADJ;1. Es ist mir ganz egal, was die Leute denken. 2. Egal, wie das Wetter ist, ich gehe schwimmen.
eigen-;"";ADJ;1. Fast jedes Kind hat ein eigenes Zimmer. 2. Manche Leute haben keine eigene Meinung.
eilig;rápido,urgente;ADJ;Hast du es eilig?
eindeutig;inequívoco, unívoco,claro, patente;ADJ;1. Das Ergebnis ist eindeutig. Du hast gewonnen. 2. Du kannst eindeutig besser kochen als ich.
einig-;"";ADJ;"1. In diesem Bericht sind einige Fehler. 2. Das wird noch einige Zeit dauern.
3. Einige sind für das Gesetz, aber viele sind auch dagegen.
4. Kennst du jemand, der Chinesisch spricht? – Ich kenne sogar einige Leute."
einsam;solo,abandonado,aislado, apartado,desierto, inhabitado;ADJ;Ohne meine Familie fühle ich mich ein bisschen einsam.
einverstanden ;de acuerdo con,conforme con;ADJ;Als Termin schlage ich den 3. Mai vor. – Gut, einverstanden!
einzig-;"";ADJ;1. Wir waren die einzigen Gäste. 2. Das war das einzige Mal, dass ich ihn gesehen habe.
elegant;elegante;ADJ;Ich finde dein Kleid sehr elegant.
elektrisch;eléctrico;ADJ;Wir kochen nicht mit Gas, sondern elektrisch.
elektronisch;electrónico;ADJ;Wir schicken nichts mehr per Post. Alles geht elektronisch.
endgültig;definitivo;ADJ;1. Endlich haben wir eine schöne Wohnung gefunden. 2. Haben Sie sich nun endlich entschieden?
eventuell;eventual, posible;ADJ;Ich komme eventuell etwas später.
ewig;eterno,continuo,infinito;ADJ;Ich warte schon ewig auf mein neues Auto!
fällig;pagadero, vencido,necesario;ADJ;Die Rechnung ist Ende des Monats fällig.
feucht ;húmedo;ADJ;1. Die Wäsche ist noch feucht. 2. Es ist heute feucht draußen.
finanziell;financiero, económico;ADJ;Finanziell geht es meinem Neffen jetzt besser.
fit;en (buena) forma;ADJ;Ich halte mich durch Sport fit.
flach;llano, plano,bajo,playo CSur,poco profundo,llano,banal, superficial;ADJ;1. Für die Arbeit brauche ich flache Schuhe. 2. An dieser Stelle ist der See sehr flach.
flexibel;flexible;ADJ;Meine Arbeitszeit ist flexibel.
frech;insolente, impertinente,cachafaz AmS,impávido Chil,desvergonzado, atrevido,descocado;ADJ;Du darfst in der Schule nicht so frech sein.
freiwillig;voluntario;ADJ;Manchmal bleibe ich freiwillig länger im Büro.
fremd ;extranjero,forastero,ajeno, de otro(s),desconocido,extraño;ADJ;1. Ich reise gern in fremde Länder. 2. Ich bin fremd hier.
freundlich;amable,cordial, cariñoso,agradable,acogedor,ameno,claro,favorable;ADJ;1. Er hat uns sehr freundlich begrüßt. 2. Der Mann ist sehr freundlich zu mir. 3. Mit freundlichen Grüßen
froh;alegre,feliz,satisfecho, contento,bueno, agradable;ADJ;1. Ich bin froh, dass alles so gut geklappt hat. 2. Frohes Fest! 
gefährlich;peligroso,grave,de cuidado,arriesgado,expuesto;ADJ;1. Achtung, hier ist eine gefährliche Kurve! 2. Du darfst nicht bei Rot über die Straße gehen. Das ist gefährlich.
geheim;secreto,oculto,confidencial;ADJ;Das ist geheim. Du darfst es niemandem sagen.
gering;pequeño,poco,escaso,limitado,bajo,corto,insignificante, mínimo;ADJ;1. Unsere Mannschaft hatte nur eine geringe Chance. 2. Wenn Sie ein geringes Einkommen haben, zahlen Sie nur wenig Steuern.
gesund;sano,saludable;ADJ;1. Ich hatte Grippe. Jetzt bin ich wieder gesund. 2. Zu viel Zucker ist nicht gesund.
giftig;venenoso, tóxico,mordaz, malicioso;ADJ;Vorsicht, das ist giftig!
gleichberechtigt;con los mismos derechos;ADJ;Mann und Frau sind gleichberechtigt.
groß;gran(de),espacioso,extenso, vasto,grueso,alto,largo,mayor,adulto,numeroso,grande,importante;ADJ;1. Wir haben einen großen Garten. 2. Wie groß sind Sie? 3. Die Jacke ist mir zu groß. 4. Wenn die Kinder groß sind, haben wir  wieder mehr Zeit. 5. Ich habe keinen großen Hunger.
Groß-;"";ADJ;z. B. die Großeltern, die Großmutter, der Großvater
gültig ;válido,vigente,de curso legal;ADJ;Mein Pass ist nur noch zwei Monate gültig.
günstig;favorable,propicio,oportuno,a buen precio;ADJ;Ich suche eine günstige Ferienwohnung.
haltbar;conservable,resistente, duradero,sostenible,parable;ADJ;Diese Dose Tomaten ist mindestens haltbar bis 31.12.2010.
hell;claro,rubio,luminoso,iluminado,agudo,listo,inteligente,total,puro;ADJ;1. Im Sommer wird es um 5 Uhr schon hell.2. Mein Zimmer ist schön hell. 3. Ich habe mir einen hellblauen
historisch;histórico;ADJ;Wir waren mit unserer Klasse im Historischen Museum.
höflich;cortés,amable;ADJ;Unser Nachbar ist sehr höflich. Er sagt immer als erster „Guten Tag“.
hungrig;hambriento,filoso Hond,ávido;ADJ;Ich bin sehr hungrig.
illegal;ilegal;ADJ;Ohne Steuerkarte zu arbeiten ist illegal. Wenn es herauskommt, musst du Strafe zahlen.
intelligent;inteligente;ADJ;Unsere Tochter ist sehr intelligent. Sie kann sehr gut rechnen.
intensiv ;intensivo,intenso;ADJ;Ich möchte intensiv Deutsch lernen.
interessant;interesante;ADJ;1. Ich habe einen interessanten Bericht gelesen. 2. Den Bericht über Brasilien finde ich sehr interessant.
interkulturell;intercultural;ADJ;Wir haben in der Sprachschule ein interkulturelles Fest gefeiert.
jung;joven,juvenil,nuevo;ADJ;1. Für diesen Film bist du noch zu jung. 2. Meine Mutter ist jung geblieben. 3. Claudia ist 21. – Was? Noch so jung? 4. Ich habe sehr jung geheiratet. 5. Bei uns im Haus wohnen viele junge Leute. 7 Mein Bruder ist zehn Jahre jünger als ich.8. Ich bin in unserer Familie die Jüngste.
kalt;frío,helado,indiferente;ADJ;1. Es ist kalt heute. 2. Du hast ja ganz kalte Hände. 3. Das Mittagessen ist kalt geworden. 4. Abends essen wir immer kalt. 5. Wir hatten einen kalten Winter. 6. Mir ist kalt. Mach bitte die Heizung an.
kaputt;roto,estropeado,hecho polvo,destrozado,reventado,en las últimas;ADJ;1. Unsere Waschmaschine ist kaputt. 2. Ich bin noch ganz kaputt von der Reise.
klein;pequeño,bajo,breve,menor,insignificante,modesto,limitado;ADJ;1. Unsere Wohnung ist klein. 2. Unser Kind ist noch klein. 3. Wir machen am Sonntag einen kleinen Ausflug.
komisch;cómico, gracioso,curioso, raro, extraño;ADJ;1. Das Essen schmeckt komisch. Probier mal. 2. Der Film war sehr komisch. Wir haben viel gelacht. 3. Eine grüne Hose und gelbe Schuhe? Das sieht komisch aus.
körperlich;corporal,físico;ADJ;Körperliche Arbeit macht mir nichts aus.
korrekt;correcto;ADJ;Ich habe die Rechnung geprüft. Alles ist korrekt.
kritisch;crítico;ADJ;Es gab eine Diskussion über die Lebensmittelpreise. Ein Journalist hat kritische Fragen gestellt.
kulturell;cultural;ADJ;Es gibt große kulturelle Unterschiede zwischen den Ländern.
künstlich;artificial,postizo;ADJ;Ich mag kein künstliches Licht. 
langweilig ;aburrido, pesado,lento, pesado,cansador Arg;ADJ;Der Film war sehr langweilig.
ledig;soltero,exento de,libre de;ADJ;Wie ist Ihr Familienstand? – Ledig.
mager ;magro,flaco,flamenco Hond, PRico,pobre,fina,normal;ADJ;Bitte 1 kg mageres Fleisch.
männlich ;masculino,macho;ADJ;Kreuzen Sie bitte an: „weiblich“ oder „männlich“.
menschlich;humano;ADJ;1. Fehler zu machen ist menschlich. 2. Der Chef hat uns immer menschlich behandelt.
merkwürdig ;curioso, raro;ADJ;Das ist eine merkwürdige Geschichte.
mild;"";ADJ;1. Möchten Sie die Soße scharf? – Nein, bitte ganz mild.2. Wie wird das Wetter? – Es soll etwas milder werden.
möglich ;posible,factible, realizable;ADJ;Kann ich bitte sofort einen Termin haben? – Das ist leider nicht möglich.
müde;cansado,fané veraltet Arg;ADJ;Ich bin müde. Ich gehe schlafen.
mutig;valiente, valeroso;ADJ;Es war sehr mutig von dir, deine Meinung laut zu sagen.
nervös;nervioso;ADJ;Das Warten macht mich ganz nervös.
nett;amable, simpático,agradable,bonito;ADJ;1. Die Leute sind hier sehr nett. 2. Ich habe viele nette Kollegen. 3. Vielen Dank! Das ist sehr nett von Ihnen. 4. Die Nachbarn waren sehr nett zu uns.
neugierig;curioso por,alcamonero Ven;ADJ;Die Nachbarn sind ziemlich neugierig.
niedrig;bajo,humilde,vil,infame;ADJ;1. Die Räume hier sind mir zu niedrig. 2. Für die Jahreszeit sind die Temperaturen zu niedrig. 3. Die Firma zahlt sehr niedrige Löhne.
notwendig;necesario,inevitable;ADJ;1. Muss ich nochmal wiederkommen? – Nein, das ist nicht notwendig.
nützlich;provechoso, útil;ADJ;Danke für den Tipp. Das war sehr nützlich.
offen;abierto,suelto,destapado,a granel,vacante,pendiente,franco, abierto;ADJ;1. Komm rein. Die Haustür ist offen. 2. Ich glaube, der Supermarkt ist jetzt noch offen. 3. Im Sommer schlafe ich immer bei offenem Fenster. 4. Ich habe mit meinem Kollegen ganz offen über mein Problem gesprochen. 5. Einzelne Fragen sind noch offen.
offiziell;oficial;ADJ;Sie bekommen von uns eine offizielle Einladung.
optimistisch;optimista;ADJ;Glaubst du, dass du den Job bekommst? – Ja, ich bin ganz optimistisch.
örtlich;local;ADJ;Die Nummer finden Sie im örtlichen Telefonbuch.
parallel ;paralelo a;ADJ;Die Goethestraße ist parallel zur Hauptstraße.
persönlich;personal,en persona;ADJ;1. Hier gibt es zu viele Autos. Das ist meine persönliche Meinung.2. Ich muss Herrn Meier persönlich sprechen.3. Dafür müssen Sie persönlich vorbeikommen.
politisch;político;ADJ;1. Ich diskutiere mit meinem Schwieger- vater oft über politische Probleme. 2. über meine politische Meinung möchte ich nicht sprechen.
praktisch;práctico;ADJ;1. Ich finde diese Küchenmaschine sehr praktisch.2. Ich habe letzte Woche den Führerschein gemacht. Jetzt fehlt mir noch praktische Erfahrung.3. Dieses Handy kann praktisch alles, was ein Computer kann.
pünktlich;puntual;ADJ;1. Seien Sie bitte pünktlich. 2. Der Bus fährt pünktlich um acht Uhr.
realistisch;realista;ADJ;Ich glaube nicht, dass du für das Auto noch so viel Geld bekommst. Das ist nicht realistisch.
relativ;relativo;ADJ;Die Wohnung ist relativ groß, aber sehr teuer.
roh;crudo,bruto, sin labrar,bruto;ADJ;Ich lese gern Romane.
ruhig;quieto,tranquilo,callado;ADJ;sehr ruhig. 3. Du kannst ruhig rauchen.
satt;satisfecho,lleno fam,fuerte, intenso,impresionante;ADJ;Möchten Sie noch etwas? – Nein danke, ich bin satt.
sauer;ácido,cuajado,agrio,de mala uva,de mala leche;ADJ;1. Die äpfel sind mir zu sauer. 2. Die Milch ist sauer. 3. Immer kommst du zu spät. Ich binwirklich sauer auf dich.
scharf;afilado,agudo,cortante,vivo,picante,fuerte,acre,corrosivo,estridente,nítido,neto, (bien) marcado,fino,cerrado,mordaz,tajante,enérgico,riguroso, estricto,estrecho,reñido,mordedor,chulo,cachondo por,explosivo,con carga explosiva,forzado;ADJ;1. Die Suppe ist mir zu scharf. 2. Bei uns zu Hause essen wir immer sehr scharf. 3. Hast du kein schärferes Messer?
schief;torcido,inclinado, ladeado,falso, equívoco;ADJ;Der Spiegel hängt ganz schief.
schlank;delgado;ADJ;Meine Tochter ist groß und schlank.
schmal;delgado,estrecho,angosto,escaso;ADJ;Hier kannst du nicht parken. Die Straße ist zu schmal.
schmutzig;sucio,embadurnado,pringado fam,obsceno, sucio,verde fam;ADJ;1. Leg bitte die schmutzige Wäsche in die Waschmaschine. 2. Das Handtuch ist schmutzig. 
schrecklich;horrible, horroroso,tremendo, enorme;ADJ;1. Heute ist eine schreckliche Hitze. 2. Das Restaurant war schrecklich voll. 3. Ich finde dieses Kleid schrecklich. 4. Auf der Autobahn ist ein schrecklicher Unfall passiert.
schriftlich;por escrito;ADJ;1. Die schriftliche Prüfung dauert einen halben Tag.2. Wir brauchen von Ihnen eine schriftliche Bestätigung.3. Sie müssen sich schriftlich anmelden.
schuldig;culpable de;ADJ;Was bin ich Ihnen schuldig? – 50 Euro, bitte.
schwach;débil,flojo,tenue,vago,escaso,insuficiente,frágil,delicado,infundado,transigente;ADJ;1. Ich bin noch nicht gesund. Ich fühle mich noch sehr schwach. 2. Die Tabletten sind zu schwach. Sie helfen nicht.
schwierig ;difícil,complicado,delicado;ADJ;Die Prüfung war sehr schwierig.
senkrecht;vertical,perpendicular a;ADJ;Ziehen Sie bitte eine senkrechte Linie. 
sichtbar;visible,perceptible,evidente, manifiesto, obvio;ADJ;Es gibt keine sichtbaren Verletzungen. Aber wir müssen das Bein trotzdem untersuchen.
sparsam;económico,poco gastador;ADJ;1. Meine Frau ist sehr sparsam. 2. Mein Auto ist sehr sparsam. Es verbraucht nur 5 Liter.
speziell;especial, particular;ADJ;Ich suche einen ganz speziellen Ring für meine Freundin.
sportlich;deportivo,justo;ADJ;1. Mein Bruder ist sehr sportlich. 2. Ich mag bequeme und sportliche Kleidung. 
städtisch;municipal, comunal,urbano;ADJ;Die städtischen Verkehrsbetriebe wollen die Tarife erhöhen.
steil;empinado, escarpado,acantilado,vertiginoso, rápido;ADJ;Die Straße zu unserem Haus ist sehr steil.
streng;severo,fregado Ecua, Pan,duro, riguroso,estricto,absoluto,acre, fuerte,austero,intenso,duro,consecuente,fatigoso;ADJ;Unsere Tochter hat einen sehr strengen Lehrer.
stumm;mudo,silencioso, callado;ADJ;Stell bitte dein Handy leise oder auf stumm.
sympathisch;simpático;ADJ;1. Ich finde unsere neue Kollegin sehr sympathisch.2. Der neue Chef ist sehr sympathisch.
teuer;caro,salado CSur,valioso,querido, apreciado;ADJ;1. Ich finde das nicht teuer. 2. Dieses Geschäft ist mir zu teuer.
theoretisch;teórico;ADJ;Ich habe die theoretische Prüfung bestanden. Nach der praktischen bekomme ich den Führerschein.
tolerant;tolerante;ADJ;Die Nachbarn hören oft laut Musik. Wir müssen sehr tolerant sein.
tot;muerto,inánime,fallecido,marchito,inanimado,sin vida,agotado,inútil,inerte;ADJ;Meine Großeltern sind schon lange tot.
traditionell;tradicional;ADJ;Ich mag die traditionelle Küche.
treu;fiel,leal,de confianza,de buena fe;ADJ;Herr Maier ist ein treuer Kunde von uns.
trocken;seco,sin lluvia,(en) seco,sobrio,aburrido,lacónico,acre,que ya no bebe;ADJ;1. Die Wäsche ist noch nicht trocken. 3. Bitte einen trockenen Wein. 4. Hoffentlich regnet es bald. Alles ist ganz trocken. 
typisch;típico de;ADJ;Im Hotel gab es typisch deutsches Essen.
üblich;usual, habitual,tradicional, clásico;ADJ;In Deutschland ist es üblich, früh zu Abend zu essen.
übrig;restante;ADJ;Ist noch etwas zu essen übrig?
unfreundlich;desatento, poco amable,desapacible;ADJ;Die Verkäuferin war sehr unfreundlich.
ungewöhnlich;insólito, poco común,extraordinario;ADJ;Haben Sie etwas Ungewöhnliches gesehen?
unglaublich;increíble,increíble, inaudito,tremendo;ADJ;Es ist unglaublich. Schon wieder so ein Unglück.
unterschiedlich;distinto, diferente;ADJ;Mein Bruder und ich sind sehr unterschiedlich. Er interessiert sich für Mathematik, ich für Sprachen.
vegetarisch;vegetariano;ADJ;1. Ich mag kein Fleisch. Ich esse am liebsten vegetarisch.2. Haben Sie auch vegetarische Gerichte?
verantwortlich ;responsable de,de responsabilidad;ADJ;Sie sind für Ihre Kinder verantwortlich.
verständlich;inteligible, comprensible,claro;ADJ;Nach acht Stunden Schule haben die Kinder keine Lust mehr zu den Haus- aufgaben. Ich finde das verständlich.
verwitwet ;viudo;ADJ;Familienstand: verwitwet.
waagerecht;horizontal;ADJ;Ziehen Sie bitte einen waagerechten Strich.
weiblich;femenino;ADJ;Kreuzen Sie bitte an: „weiblich“ oder „männlich“.
wertvoll;valioso;ADJ;Ich habe einen sehr wertvollen Ring von meiner Großmutter.
wichtig;importante;ADJ;1. Die Prüfung ist sehr wichtig für mich. 2. Morgen habe ich einen wichtigen Termin.
windig;ventoso,expuesto al viento,dudoso,pícaro;ADJ;Es ist heute sehr windig.
wunderschön;hermosísimo, maravilloso;ADJ;1. Wir haben einen Ausflug gemacht. Es war wunderschön.2. Ich habe mir ein wunderschönes Kleid gekauft.
zentral ;central;ADJ;Wir suchen eine Zweizimmer- wohnung in zentraler Lage.
zufrieden;contento,satisfecho;ADJ;1. Meine Kinder haben heute Zeugnisse bekommen. Ich bin zufrieden.2. Ich bin mit der Wohnung zufrieden. Sie ist nicht so groß, aber sie hat einen Balkon.
zuständig ;competente para,responsable de;ADJ;Wir haben ein Problem mit der Heizung. Wer ist dafür zuständig?
zuverlässig ;cumplidor,de confianza,eficaz,fiable,fidedigno,verosímil;ADJ;Der Kollege kommt bestimmt gleich. Er ist immer sehr zuverlässig.
